epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,7837.35,0.73056,1.58833,1.72552,1.17385,0.55255,0.504,0.4876,0.38071,0.55963,0.49971,0.48665,0.34994,0.89058,2.10941,2.13138,1.40022,0.000466599,0.000466599,0.000466599
30,8119.39,0.72787,1.53926,1.54864,1.16114,0.49863,0.48738,0.49126,0.36017,0.50067,0.4843,0.48141,0.34139,0.92387,2.02079,2.12244,1.41424,0.000457763,0.000457763,0.000457763
31,8399.96,0.72899,1.51898,1.60107,1.16328,0.49143,0.49376,0.48206,0.37351,0.48084,0.49628,0.47219,0.34691,0.92567,2.0193,2.17836,1.41496,0.000448928,0.000448928,0.000448928
32,8675.57,0.70362,1.49228,1.55371,1.12757,0.53769,0.50101,0.51787,0.39302,0.53124,0.51029,0.51338,0.37171,0.89786,2.04649,2.05383,1.39055,0.000440092,0.000440092,0.000440092
33,8954.85,0.70302,1.47945,1.58257,1.13775,0.53427,0.52932,0.53642,0.40217,0.52835,0.52506,0.53009,0.38733,0.906,2.04105,1.97067,1.41157,0.000431256,0.000431256,0.000431256
34,9232.41,0.69026,1.48054,1.53372,1.1285,0.49966,0.56557,0.54803,0.42472,0.51062,0.55089,0.54064,0.39645,0.89234,2.0628,1.893,1.39702,0.00042242,0.00042242,0.00042242
35,9505.93,0.70188,1.49725,1.52073,1.13908,0.53191,0.50475,0.53184,0.4034,0.52716,0.49599,0.52544,0.38141,0.91115,2.02558,2.04495,1.41027,0.000413584,0.000413584,0.000413584
36,9784.19,0.68566,1.41192,1.5258,1.13756,0.52506,0.56092,0.52204,0.40265,0.51185,0.55947,0.51231,0.38385,0.88067,2.00818,2.03377,1.38899,0.000404749,0.000404749,0.000404749
37,10065.6,0.6776,1.45709,1.448,1.13323,0.47279,0.55384,0.48894,0.38111,0.47935,0.52845,0.48622,0.35705,0.87861,2.08002,2.02879,1.38771,0.000395913,0.000395913,0.000395913
38,10347.8,0.68271,1.43939,1.4205,1.12551,0.47546,0.51907,0.49177,0.37759,0.47409,0.52023,0.48632,0.3455,0.90768,2.18236,2.08258,1.38005,0.000387077,0.000387077,0.000387077
39,10622.7,0.67827,1.43766,1.3784,1.11044,0.50765,0.54522,0.51667,0.38976,0.50452,0.54287,0.51064,0.36441,0.91586,2.09132,1.93025,1.41114,0.000378242,0.000378242,0.000378242
40,10901.1,0.67798,1.37657,1.39921,1.10922,0.59102,0.50561,0.53517,0.40803,0.58081,0.49896,0.52408,0.37561,0.90838,2.08158,2.00884,1.41704,0.000369406,0.000369406,0.000369406
41,11171.5,0.67775,1.44019,1.42974,1.12414,0.50878,0.56374,0.51806,0.39229,0.50651,0.55411,0.5083,0.37117,0.87385,2.08937,1.95582,1.38547,0.00036057,0.00036057,0.00036057
42,11443.5,0.6455,1.41138,1.32405,1.09694,0.54967,0.55896,0.54043,0.41149,0.54898,0.55769,0.52793,0.38403,0.88642,2.04051,1.95947,1.39086,0.000351734,0.000351734,0.000351734
43,11716.9,0.6461,1.34253,1.30634,1.09354,0.50057,0.51027,0.49506,0.38303,0.49443,0.49937,0.48675,0.35574,0.87894,2.05184,2.10861,1.38888,0.000342899,0.000342899,0.000342899
44,11994.7,0.61575,1.31563,1.29426,1.0803,0.57225,0.51949,0.54574,0.41786,0.56252,0.50395,0.5364,0.38879,0.91027,2.17225,1.92452,1.41314,0.000334063,0.000334063,0.000334063
45,12275.3,0.64249,1.30834,1.27817,1.07712,0.52093,0.55214,0.50825,0.38038,0.53541,0.53039,0.50051,0.35722,0.89729,2.08717,1.98447,1.39576,0.000325227,0.000325227,0.000325227
46,12549.2,0.63744,1.33561,1.29229,1.10499,0.55123,0.59998,0.54416,0.41414,0.54251,0.58722,0.5358,0.38222,0.89232,2.0911,1.87121,1.4118,0.000316391,0.000316391,0.000316391
47,12825.6,0.64005,1.31518,1.28109,1.09415,0.50411,0.53048,0.50637,0.39071,0.50458,0.53848,0.50885,0.36883,0.9118,2.11832,1.98268,1.40901,0.000307555,0.000307555,0.000307555
48,13100.9,0.64497,1.3215,1.2449,1.0921,0.59377,0.49666,0.52515,0.40775,0.58947,0.48964,0.514,0.37956,0.86978,2.102,1.90701,1.36167,0.00029872,0.00029872,0.00029872
49,13367.6,0.63053,1.32699,1.24454,1.0912,0.53123,0.56786,0.53526,0.40898,0.57415,0.50016,0.52768,0.38057,0.9001,2.18893,1.94274,1.40412,0.000289884,0.000289884,0.000289884
50,13643.6,0.62061,1.3105,1.23982,1.079,0.54782,0.55547,0.52791,0.40235,0.56903,0.5223,0.51644,0.3663,0.92696,2.11409,1.97666,1.45086,0.000281048,0.000281048,0.000281048
51,13918.9,0.62252,1.26159,1.1791,1.07266,0.48119,0.5402,0.49681,0.3787,0.47393,0.53212,0.48201,0.35712,0.86917,1.95093,2.01329,1.38025,0.000272212,0.000272212,0.000272212
52,14192,0.60087,1.26591,1.1631,1.05669,0.533,0.53645,0.52358,0.39674,0.51564,0.52183,0.50671,0.36548,0.89606,2.07786,1.91216,1.41781,0.000263377,0.000263377,0.000263377
53,14466.2,0.59312,1.20752,1.12652,1.04834,0.55671,0.51009,0.532,0.41618,0.54575,0.50791,0.51317,0.37576,0.86239,2.08828,1.90366,1.38247,0.000254541,0.000254541,0.000254541
54,14738.1,0.59754,1.24446,1.09723,1.05935,0.44231,0.5887,0.50573,0.39177,0.43679,0.58089,0.49744,0.36549,0.88217,2.04,1.93644,1.37647,0.000245705,0.000245705,0.000245705
